06QjA,Q7/7P/8/5K2/B2b4/3k4/3pp3/8 b - - 0 59,e2e1q a8f3 e1e3 a4b5,2743,93,96,272,crushing endgame short,https://lichess.org/spfhfAtu/black#118
06jl7,1r1r4/7R/p2P2p1/4R2p/PbN1P1pk/1P6/2P4P/6K1 w - - 3 34,e5e6 d8f8 e6e5 f8f3 e5d5 b8f8 c4d2 f3e3 d6d7 e3e1 g1g2 e1e2,2790,100,67,104,clearance crushing endgame quietMove veryLong,https://lichess.org/H7PyMrBo#67
06njT,5r2/2R2ppk/4p2p/4P3/1p1P1Q2/6P1/P4PKP/1q6 w - - 6 37,c7f7 f8f7 f4f7 b1a2 g2h3 a2c4,2695,101,92,572,crushing endgame long,https://lichess.org/mU4BZMKO#73
06oZg,1rb2rk1/6bp/1qppp1p1/2n3P1/p3PP2/1PN2B2/P1PB3Q/2KR3R b - - 1 19,a4b3 h2h7 g8f7 c3b5 b6b5 d2c3,2783,104,90,549,clearance crushing long middlegame pin sacrifice,https://lichess.org/IzMiUt9P/black#38
06sJq,8/7p/2k5/2p2pp1/P1K5/1P5P/6P1/8 w - - 0 50,a4a5 g5g4 a5a6 g4g3 a6a7 c6b7 a7a8r b7a8,2612,99,43,27,crushing endgame pawnEndgame veryLong,https://lichess.org/zzSHtN4x#99
06vta,r2q2k1/1p3rp1/p1nb4/3Qp1N1/1P2p1b1/P5P1/2P2PK1/R1B4R b - - 5 21,d8e7 d5e4 g4f3 g5f3,2654,95,74,203,crushing middlegame short,https://lichess.org/6E8U9CdP/black#42
073Mp,5rk1/1b2qpp1/pr2p2p/np1nN2P/4N3/P5Q1/1PB2PP1/2RR2K1 b - - 5 22,a5c6 e5d7 c6d4 d1d4 e7d7 e4f6,2604,81,84,85,advantage long master middlegame pin,https://lichess.org/NIvqgHsa/black#44
074cu,4r1k1/1p3pp1/2p4p/2Bn1B1P/8/8/nP3PP1/3R1K2 b - - 3 28,e8e5 f5b1 e5h5 f1g1,2653,90,82,54,advantage defensiveMove endgame master short,https://lichess.org/F5aGnads/black#56
076QH,6R1/2r5/1p1p1ppk/p2B4/P1P5/1P4RP/5PK1/4q3 b - - 2 35,e1b1 g3g4 c7e7 g8h8,2712,106,92,465,crushing endgame short,https://lichess.org/S8Mna4fF/black#70
07A1R,8/7p/4k3/1p1p4/1PrR1PKP/8/5P2/8 w - - 1 40,d4c4 d5c4 g4f3 e6f5 f3e3 f5g4 f4f5 g4f5,2652,87,87,329,crushing endgame veryLong,https://lichess.org/Xqmc3YJ8#79
07GkW,8/7p/5b2/P2p4/3kpKP1/7P/3B4/8 b - - 0 46,f6d8 d2e3 d4d3 a5a6 d8c7 f4f5 c7b8 a6a7 b8a7 e3a7 e4e3 f5e5 e3e2 a7f2,2668,91,92,800,advancedPawn bishopEndgame crushing defensiveMove endgame veryLong,https://lichess.org/fCsIiS3H/black#92
07Kq0,2r2rk1/pb1p2pp/1p1bp1n1/5n2/3N4/2P1B1Pq/PPBN1P1P/R3RQK1 b - - 2 17,h3g4 d4f5 f8f5 c2d1,2720,90,96,128,crushing master middlegame short,https://lichess.org/gpjQZWJs/black#34
07N42,3r1rk1/Q5pp/3bpq1n/8/8/2N1B3/PPP2PPP/R4RK1 w - - 3 18,e3d4 d6h2 g1h2 d8d4 h2g1 d4h4,2670,97,85,483,advantage defensiveMove discoveredAttack kingsideAttack long middlegame,https://lichess.org/JXELMtG8#35
07bZf,4r3/8/p7/1p2k2P/2p1bR2/P1K1B3/1PP3p1/8 w - - 2 36,h5h6 e8g8 f4h4 g8g3,2652,84,98,84,crushing endgame pin quietMove short,https://lichess.org/aQq4FNrG#71
07fBO,3qnrk1/3n2bp/B2p2p1/3Pp3/P3p1b1/B1R2N2/5PPP/3Q1RK1 w - - 0 18,h2h3 e4f3 h3g4 e5e4 c3f3 e4f3,2685,85,75,134,advantage long middlegame quietMove,https://lichess.org/TzA3jglz#35
07kTc,3k4/8/2P4P/3K1n2/2P5/4Bp2/8/8 w - - 1 64,e3f4 f5e7 d5d6 f3f2 c6c7 d8c8 d6e7 f2f1q,2658,92,92,893,advancedPawn crushing endgame promotion veryLong,https://lichess.org/1xiDhjj5#127
07pPl,3r4/6k1/3q1p2/6pQ/8/6R1/6PK/8 b - - 1 43,f6f5 h5g5 g7f7 g5g7 f7e6 h2h3 d6d4 g3g6 e6d5 g7f7 d5e4 g6e6 e4d3 f7f5,2611,106,86,64,crushing deflection endgame exposedKing veryLong,https://lichess.org/Ow91PQjS/black#86
08Cyd,2rq1rk1/4b1pp/2n1p3/3pP1P1/pp3P2/3QB2R/PPP3P1/2K4R b - - 0 21,b4b3 d3h7 g8f7 h3h6 f7e8 h7g6 f8f7 h6h8 e8d7 h8d8,2706,112,85,445,clearance crushing kingsideAttack middlegame pin skewer veryLong,https://lichess.org/MBwme3Ot/black#42
08WZb,4r1k1/p5pp/2Q2pb1/3p4/3q1b2/P1N4P/BP1r2P1/2R2R1K b - - 0 28,d2b2 c6d5 d4d5 a2d5 g8h8 f1f4,2697,118,89,399,advantage kingsideAttack long middlegame,https://lichess.org/K1w917Xy/black#56
08X30,8/4R1pp/p2R4/1p2P3/1b6/4k3/6PP/r2B2K1 b - - 2 33,b4d6 e5d6 e3d2 e7f7,2777,97,92,671,crushing discoveredAttack endgame short,https://lichess.org/5YohBjcT/black#66
08a9e,2qr3k/6pp/8/5p2/1P1Qp3/4P1P1/P5K1/R7 w - - 12 40,d4b2 f5f4 e3f4 c8g4 b2f2 d8d3 a1e1 d3f3 e1e4 f3f2,2721,102,85,253,advantage clearance endgame veryLong,https://lichess.org/mFZYPDCQ#79
08nB2,4r3/5k1p/1nq1p1p1/4QpP1/2PP1P2/p2K3P/PNP5/4R3 w - - 0 33,c4c5 a3b2 c5b6 e8c8 e5c7 c8c7,2773,116,92,855,advancedPawn crushing endgame long quietMove,https://lichess.org/gPWo497a#65
08vPp,8/3R4/4rPk1/2K3P1/4bP2/8/8/8 b - - 14 55,e6e8 d7g7 g6f5 f6f7 e8f8 c5d6,2691,93,92,478,advancedPawn crushing defensiveMove endgame long,https://lichess.org/x1YlqcJh/black#110
08zUQ,2kr4/ppp2ppp/8/3P3q/QPPNrBn1/8/P5PP/R4R1K w - - 1 18,d4b5 e4f4 h2h3 h5e5 h3g4 f4g4,2643,97,91,104,advantage long middlegame,https://lichess.org/0jqga0FJ#35
08zzl,2r2qk1/p5b1/b1p1p1R1/1p1pP1Np/3P1r1P/8/PPPQ1P2/2KR4 b - - 1 22,f4f2 d2d3 f8f5 g5e6,2748,104,91,796,advantage middlegame short,https://lichess.org/LxCH3VBZ/black#44
090As,4k2r/2qn2p1/1r2p3/p1P4p/Q3p1n1/B6P/P3B1P1/R4R1K w k - 1 26,h3g4 h5g4 h1g1 c7h2 g1f2 e8g8,2789,94,50,85,advantage castling discoveredAttack kingsideAttack long middlegame,https://lichess.org/h5CkiWRL#51
